,artist_familiarity,artist_hotttnesss,artist_id,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,year
0,0.5817937658450281,0.4019975433642836,1268,218.93179,0.247,1.0,0.736,-11.197,0.0,0.636,218.932,92.198,4.0,0.778,1969.0
1,0.6306300375898077,0.4174996449709784,2353,148.03546,0.14800000000000002,6.0,0.16899999999999998,-9.843,0.0,0.43,137.915,121.274,4.0,0.384,1969.0
2,0.4873567909281477,0.34342837829688244,2167,177.47546,0.282,8.0,0.643,-9.689,1.0,0.565,172.304,100.07,1.0,0.0,1969.0
3,0.6303823341467806,0.4542311565706205,714,233.40363,0.0,0.0,0.7509999999999999,-9.013,1.0,0.7490000000000001,217.124,119.293,4.0,0.0,1982.0
4,0.6510456608317947,0.40172368550367865,3608,209.60608,0.066,2.0,0.092,-4.501,1.0,0.371,198.699,129.738,4.0,0.562,2007.0
5,0.5352927355118197,0.3854705505558211,2127,267.7024,2.264,5.0,0.635,-9.323,1.0,0.557,254.27,147.782,3.0,0.454,2007.0
6,0.5564956019129572,0.2619411773808474,1248,114.78159,0.096,1.0,0.0,-17.302,1.0,0.0,114.782,111.787,1.0,0.0,2007.0
7,0.8011364469966873,0.6055071356905752,128,189.57016,0.319,4.0,0.0,-11.642,0.0,0.16,181.023,101.43,3.0,0.408,2007.0
8,0.4266678570694053,0.3322757465990681,856,269.81832,5.3,4.0,0.7170000000000001,-13.496,1.0,0.652,258.99,86.64299999999999,4.0,0.487,1984.0
9,0.5505136978482137,0.4227056410293911,2506,266.39628,0.084,7.0,0.053,-6.697,0.0,0.473,261.747,114.041,4.0,0.878,1984.0
10,0.3600311664643514,0.2962689543114633,1688,218.77506,2.125,5.0,0.354,-10.021,0.0,0.485,207.012,146.765,1.0,0.0,1984.0
11,0.5451592956008632,0.35155586118563925,1162,245.21098,0.35700000000000004,7.0,0.07,-7.545,1.0,0.6859999999999999,227.48,117.975,4.0,0.835,1984.0
12,0.5775089743252977,0.3794821702804675,2214,226.35057,0.0,9.0,0.205,-6.6320000000000014,1.0,0.305,221.553,130.04,4.0,0.0,1984.0
13,0.08551204710857879,0.25193652476242323,1770,191.84281,0.38,10.0,0.0,-7.75,0.0,0.198,188.424,137.334,1.0,0.319,1984.0
14,0.7766758556845541,0.5530719914619753,1900,307.3824,0.612,3.0,0.524,-8.346,1.0,0.5329999999999999,296.658,125.197,3.0,0.211,1986.0
15,0.6364236449500698,0.4479354804795022,1270,491.12771,0.0,7.0,1.0,-8.576,1.0,0.8290000000000001,486.034,119.826,4.0,0.7559999999999999,1987.0
16,0.4199431484349393,0.33080635685585685,1883,228.5971,0.223,8.0,0.041,-16.11,1.0,0.516,217.426,127.756,5.0,0.579,1987.0
17,0.3632805711099885,0.3066760934790295,236,599.24853,1.193,6.0,0.06,-8.032,1.0,0.34600000000000003,591.999,99.273,4.0,0.158,1987.0
18,0.7071997638379363,0.5134632897021558,3702,290.2983200000001,0.145,7.0,0.725,-5.271,1.0,0.7559999999999999,285.605,150.062,4.0,0.931,2004.0
19,0.32031437017067216,0.0,2496,165.69423999999995,0.162,7.0,0.011,-6.787000000000001,1.0,0.568,157.391,138.33100000000002,4.0,0.127,2004.0
20,0.3941385398458925,0.2915397270887777,2805,151.84933999999996,2.827,1.0,0.799,-15.220999999999998,1.0,0.716,146.19899999999996,86.186,3.0,0.929,2004.0
21,0.4898162689820407,0.3285530150180186,1845,220.78649,0.206,11.0,0.809,-8.514,1.0,0.521,207.656,110.382,1.0,0.192,2004.0
22,0.6774204652262298,0.37825468551016656,545,269.58322000000004,0.0,2.0,0.596,-8.05,1.0,0.6659999999999999,256.168,111.874,4.0,1.0,2004.0
23,0.839962768151037,0.5418889720336469,2320,207.77751,0.061,7.0,0.381,-4.2639999999999985,1.0,0.453,204.696,166.862,4.0,0.0,2004.0
24,0.43541581815506936,0.3062422642462862,427,124.86485,0.0,10.0,0.6970000000000001,-12.332,1.0,0.541,115.74,137.52200000000002,4.0,0.0,1985.0
25,0.6090637000310501,0.3636513650591166,1651,225.09669,0.0,7.0,0.53,-5.908,1.0,0.512,225.097,164.672,1.0,0.0,1985.0
26,0.5505136978482137,0.4227056410293911,2506,338.31138,0.0,6.0,0.687,-6.4860000000000015,0.0,0.486,338.311,125.006,4.0,1.0,1985.0
27,0.4597971288376104,0.3499126116745628,1336,186.48771,1.083,5.0,0.762,-4.516,1.0,0.539,175.467,90.022,1.0,0.971,2005.0
